"created_at","screen_name","text","retweet_count","name","location","description","followers_count","long","lat"
"2020-08-10 22:08:26","AJamesMcCarthy","I stayed up til 4am the other night to try and capture my best shot of Saturn. This is what I ended up with. #space #opteam #astrophotography https://t.co/f6FH6WGXwY",197,"Andrew McCarthy","Sacramento, California","#astrophotography enthusiast, check my link for prints, available only within 24 hours of my posts. Join my patreon to see HQ stuff. 
IG: cosmic_background",19612,-121.4943996,38.5815719
"2020-08-10 22:07:54","JoshPNamm","Dwarf planet closest to Earth is geologically alive https://t.co/gkemiqjA9n #Astronomy #Ceres #Science #ScienceNews #Space",4,"Josh Namm","Los Angeles, CA","Yes, that is Nat King Cole’s mic & piano. Co-Founder of https://t.co/PxovTAEB3I, Senior Content Editor for Orange County Jewish Life & #SocialMedia desperado.",3114,-118.2436849,34.0522342
"2020-08-10 21:48:37","MizureX5","The Perseid meteor shower is about to peak—here’s how to catch it ☄️ https://t.co/LrJQxxNryG #PerseidMeteorShower #Space",1,"RP мιzυяу™","New York, NY","24 | Professional Nerd | CyberSecurity | Military Enthusiast | Investor | Music Producer | Graphic Designer | Squad: @Lytrox @Olyoski | Team @BringThePower",2614,-74.005974,40.712776
"2020-08-10 21:46:17","DOICES1","Welcome to this thingz. 

#blender #Blender3d #3dmodeling #space #scifi #scifiart #forthesun https://t.co/xl1vkhXcn9",2,"DOICES","Los Angeles, CA","I'm barely getting started alr.
Freelance animator and auto Mechanic (what a time)
what else to say dunno",3,-118.2436849,34.0522342
"2020-08-10 21:41:04","samgdotson","If humanity parked a big honkin space station in Mars’ orbit around the sun, would Mars lose it’s planet status? @neiltyson 

*this tweet brought to you by procrastination

#astronomy #space",0,"Sam Dotson","Champaign, IL","Graduate student in computational reactor physics and fuel cycles. Interested in everything.",120,-88.2433829,40.1164204
"2020-08-10 21:26:48","cwclub","What have we learned about our planet &amp; its moon? Listen to 2 top astronomers on our new podcast, ""Insights.""

With @LordMartinRees &amp; @AndrewFraknoi 

Stream it:
https://t.co/oEa0DfVghS

Or download the #podcast: https://t.co/aazOYo0Cj4

#astronomy #space #science https://t.co/aMhVQry5jq",2,"Commonwealth Club of California","Bay Area, California","We are a nonprofit, nonpartisan public forum for the exploration of important topics of the day. We put you face to face with today's thought leaders.",13193,-122.4194155,37.7749295
"2020-08-10 21:10:41","MichelleZenner","Raymond Ronquillo Jr., engineer who helped design first lunar rover, dies at 81 - https://t.co/cvPuvIXeAj https://t.co/MeVgPQFdWI #NASA #rover #space",0,"Michelle Zenner","Washington, USA","CERT - History - News - $1millionhearts - Wildlife Habitats - Organic Gardening - Mom - Skywatcher - KG7FOR - #VOST #smem",1323,-120.7401385,47.7510741
"2020-08-10 15:55:00","MattCrossWrites","Quick guide to this weeks’ Perseid meteor shower
🚀 https://t.co/fuzQg49n9B🚀 
#Mondaysblog #meteorshower #comet #space #Perseid https://t.co/Oh8pkkrFc3",0,"Matthew Cross","Atlanta, Georgia","I blog about Sci Fi at https://t.co/WYAmcp57MY. I'm writing my YA paranormal SF novel. I love introducing new readers to Sci Fi books. Be stellar!",2070,-84.3879824,33.7489954
"2020-08-10 21:07:31","mark_tarello","PASS IT ON: Planets Saturn and Jupiter will appear in the southeast sky tonight an hour after sunset! #Space https://t.co/PBb9FlnJIL",15,"Mark Tarello","Mankato, Minnesota.","Chief Meteorologist at KEYC News Now. A CBS, FOX, & NBC affiliate. Bringing 23 years of TV weather experience to southern Minnesota & keeping you informed 24/7.",16556,-93.9993996,44.1635775
"2020-08-10 20:46:10","J_chirinos17","It's a TRAP!! https://t.co/RrVAtiOO9l #TWITTER #facebook #music #surrealism #space",1,"J. Chirinos","Maracaibo","Hi! I´m a 24 year old dude that makes music and is looking to start teaching some online english clases! Dm me for clases or Collabs!!!!",199,-71.6333333333333,10.65
"2020-08-10 20:45:09","MGN_Graphics","2020 Perseid Meteor Shower Peaks This Week 

#PerseidMeteorShower #Meteorshower #Meteor #Space #Weather #BreakingNews #News #MGN #MGNOnline https://t.co/BogXFJcePx",0,"MGN Online","San Diego, CA","Multimedia Graphic Network (MGN) is America's number one resource for Still and Animated News Graphics.
Contact Us Now For a Free 30 Day Trial",126,-117.1610838,32.715738
"2020-08-10 20:36:37","BeInTheLoopChi","COVID Concert Review: Out of @evanstonspace SPACE And Just In Time. https://t.co/pWZ3kxmKAR #Funkadesi #Evanston #Space #CovidConcert #funk https://t.co/0tinM67MH5",0,"In The Loop Magazine","Chicago, Illinois","Chicago's Most Eclectic Music Publication.",990,-87.6297982,41.8781136
"2020-08-10 20:31:21","ivoryocean","""The Red Scarf"" Completed in last night's stream is available as a print on my INPRNT shop! https://t.co/ohawC6JX5Q

#spaceart #space #scifi #surreal #desert #cacti #doorway #door #fire #unknown #sky #starscape #fire #landscape #spacescape #watercolor #watercolorart https://t.co/vFQJBMTwld",2,"s.Jane","Indianapolis, IN","Space Artist, Illustrator, Self-Publisher, Musician, Comic Creator, Gamer and Twitch Streamer 🚀 ⭐ Venmo @ivoryocean ⭐",632,-86.158068,39.768403
"2020-08-10 15:55:27","federallamm","Well, this just makes sense. #space https://t.co/yJ5jtcXCt4",0,"Ben Lamm","Austin, TX","Present: Founder/CEO @hypergiant PAST: @Conversable [Acq by @liveperson] / Chaotic Moon [Acq by @accenture ] / @teamchaos [Acq by @zynga]",17295,-97.7430608,30.267153
"2020-08-10 19:54:18","ARP_NPS","Space Force new org structure. Still in process: #acquisition that keeps pace w/ development of space tech, &amp; professional training/education of space warfighters. What will professional military #education for #space leaders look like? 
@NationalDefense
 https://t.co/DeeBYm8KUC",0,"Acquisition Research Program","Monterey, California","Official Twitter account of ARP. Connecting Naval Postgraduate School to acquisition innovators. Powered by research. (Following, RTs & links ≠ endorsement)",66,-121.8946761,36.6002378
"2020-08-10 19:41:56","NewsForrest","Major Matt Mason rides again!
#NASA #space #odd  https://t.co/7tmTuQLmzj",0,"David Forrest","Austin, TX","An editor at @Statesman. News junkie, avid reader, film buff, history enthusiast, fan of the great outdoors and bit of a science/tech nerd. Retweets ≠ approval.",334,-97.7430608,30.267153
"2020-08-10 19:37:32","jenngustetic","#Space industry colleagues... what material, reliable, transparent and auditable #ESG metrics for firms in the #aerospace sector do you find the most useful &amp; informative? Curious what you’ve seen @EllenStofan @chadsonofchad @jud_ball @jessykate @schingler @BryceSpaceTech",0,"Jenn Gustetic 🚀💪🏻","Washington DC","Leading change 4 impact in #tech, #futureofwork & innovation. Engineer. Tribes: @NASA @WHOSTP44 @van_alen @scipolnetwork @HKS_digital @MIT @UF Personal account",5412,-77.0368707,38.9071923
"2020-08-10 19:25:12","gvgoebel","Dayvectors posting for tue 11:08:20 / THREE TO MARS / https://t.co/2o35Ae9LKD / #Space #Mars #NASA",0,"Greg Goebel","Loveland CO","Old white American guy.",141,-105.0749801,40.3977612
"2020-08-10 18:41:49","amishmoe","NASA officials release photograph of what is to be believed the face of God, caught by the Hubble Space Telescope. #NASA #Discovery #God #Space https://t.co/9xQZP0NVFG",0,"vinebeast","us of a","(CaptainMarchy) Former unfunny oscar the grouch parody. current unfunny regular dude (he/him). new to streaming on twitch | 24 | BLM https://t.co/uMM98z6mHs",605,-101.666666666667,40.6666666666667
"2020-08-10 18:41:00","Novaspaceart","Kim Poor's concept sketch for Leaving Town, 1985.

▶️ https://t.co/WhXnvfmkte

#IAAA #Space #SpaceArt #Tucson #Arizona #Desert #Sunset #Cactus #Saguaro https://t.co/9BlAV7aRCI",2,"Novaspace.com","Tucson, AZ","Astronaut Autographs. Fine Space Art. Home of @Spacefest. Get off this planet!",250,-110.9747108,32.2226066
"2020-08-10 18:36:54","spaceportla","Wow... #Ceres! How fascinating! I also didn't know it's comparable to the size of Texas. 🤯🤯🤯
#space #DwarfPlanet https://t.co/0hRadO4bLo",1,"Spaceport LA","Los Angeles, CA","SpaceportLA aims to unite, build, and support a space professionals’ community in Los Angeles. We are enthusiasts, architects, engineers, and more! #SpaceportLA",888,-118.2436849,34.0522342
"2020-08-10 18:36:40","KatEdmiston","Not enough to trash #Earth they gotta trash #Space too https://t.co/Emv1KgSeBe",0,"Dolores K","Houston TX ","the greatest power is spiritual power...injustice is the mother of all crimes",2920,-95.3698028,29.7604267
"2020-08-10 18:35:30","shashinetwork","#AGoodRead #State of the Space Industrial Base Report #Space policy and finance tools, Space information services, Space transportation and logistics, Human presence in space, Power for space systems, Space manufacturing and resource extraction
https://t.co/lGaXOAVKF0 https://t.co/Imd4A0btxV",0,"Shashi Kumar","Sunnyvale, CA","#SKTelecom #RMKVentures #Strategy #Partnership #Rainmaker #Cinematographer #Innovation #AI #AR #VR #VentureCapital #VC Solve Real Problem, Not Just Great Ideas",1036,-122.0363496,37.36883
"2020-08-10 18:34:18","astrotographer","Although I'm a rookie when it comes to space collectibles, especially when comparing to Bill Carton. I am proud to now have both mission patches from the recent DM2 mission.

#SpaceX #dm2 #space https://t.co/JJz1VkJ29u",0,"TJ Hunt","Florida","Child of the Apollo era using my talents to document and share the latest in space images and information. Available for photography coverage of launches.",38,-81.5157535,27.6648274
"2020-08-10 18:16:43","IDA_org","Join IDA #STPI researcher @blal and other top #space industry experts for a series of 15-minute lectures on a range of on-orbit servicing topics, Wednesday, August 12 at 1 p.m. ET. Register below today! https://t.co/nzXQfDqZPZ",0,"Institute for Defense Analyses","Alexandria, VA","IDA is a nonprofit corporation providing rigorous analysis, trusted expertise, and service to the nation. A follow, RT, or like ≠ endorsement.",1525,-77.0469214,38.8048355
"2020-08-10 18:12:20","JasonKanigan","[NEW] On the Cold Star Project: Axa XL's Global Head of #Space #insurance Chris Kunstadter! What does the future of #satellite insurance hold? Tune in to find out: https://t.co/boDCs9Z56p",0,"Jason Kanigan","Wilmington NC","Founder, Cold Star Tech: Solving big Space and terrestrial problems where compliance cultures, time-sensitive missions & drive to be the best meet.",502,-77.8868117,34.2103894
"2020-08-10 18:11:25","relics04","Check out 1965 LIFE MAGAZINE LOT Vietnam Mantle Wayne Sinatra Tiger Waterloo JFK Yachting  https://t.co/TJgq2Rkh2l via @eBay #Life #Magazine #Vietnam #1960s #Midcentury #space #astronuat #Sinatra #Mantle #JFK #vintageAds #collectible #goodreads #ebay #freeshipping",0,"rusticrelics04@outlook.com","Ventura, Iowa","Collecting & Selling Rustic Vintage estate sale finds.  Top seller on ebay 15 years. #vintage #collectible #rustic #tractors #glass #Farm #decor #kitchen #tools",730,-93.4779849,43.1291257
"2020-08-10 18:06:13","salacioushist","#OnThisDay in 2003, Yuri Malenchenko became the first person to #marry in #space! #love #History #Podcast",3,"Salacious History Podcast","North Carolina, USA","The podcast that explores moments in history that were shaped by sex, romance, and people who were generally down to clown.",97,-79.0192997,35.7595731
"2020-08-10 18:04:25","RockeTony87","#Gimbaling - the #summer of #space's latest dance craze. I'll be gimbaling to about 10.5 degrees. See you at the launch pad. Not quite a shimmy. https://t.co/gHeZpMY5o7",0,"Tony Castilleja","Houston, TX","Living the #fastengineeringlifestyle 🚀🌎💫🧑🏽‍🚀🇺🇸🇲🇽🏳️‍🌈#Latino #Space #Engineer 🌘🌗🌖🌕💼@boeingspace ✨⚡️🚗@tesla ⚡️ #model3 👨🏽‍🎓@riceuniversity",547,-95.3698028,29.7604267
"2020-08-10 18:01:28","54StreetStudios","Check out our updated website! It Now features our new game #Space #force! Which is out now on the #iOS #appstore. Link in bio and below.

https://t.co/9ZZT4MreMq

#madewithunity #unity #indiedev #games #gaming #fallguys #platformer #mobile",0,"54th Street Studios","Vancouver, British Columbia","#Unity #developer and #designer based out of #Vancouver, Canada 🇨🇦 Check Out #SpaceForce on the #iOS #App Store! #indieDev",39,-123.1,49.25
"2020-08-10 17:23:56","istockhistory","Dwarf planet closest to Earth is geologically alive #astronomy #space  https://t.co/qzYgG2TrAe",1,"istockhistory","San Diego, California","Grew up #20thcentury grew old #21century proudly particular #arts #history #archaeology #culture  #science #technology #space #innovation #exploration #nature",40854,-117.1610838,32.715738
"2020-08-10 17:05:40","stanshull","#SpaceTechExpo #NationalSecurity #space panel: @LeidosInc's Thomas Taverney says development of ""commercial commodity buses"" for #satellites allows military to focus on payload and mission-centric purchasing. @spacetechexpo https://t.co/JK4ksfKX2F",0,"Stan Shull","Seattle, WA","Space & software industry consultant: strategy, partnerships & ecosystem development. Love maple syrup.",612,-122.3320708,47.6062095
"2020-08-10 17:00:00","AmandaSathiaraj","Attending @spacetechexpo 🤩 Panel: leveraging commercial technology and rapid innovation for US National Security to enable a safe environment.

#VirtualEvents #spacetech #space #commercial #WomenInSTEM https://t.co/nT8GrrHUKt",1,"Amanda Sathiaraj","Chicago, IL","ISP20 Communications Officer | Manufacturing Process Engineer | IIT graduate student",166,-87.6297982,41.8781136
"2020-08-10 16:58:40","FCoy69","Last night's #Mars view pic on left no filter. @NikonUSA D3000 #spce $SPCE #space #Mars2020 #MuskhasMarsfetish https://t.co/cm6ARNgIXu",0,"The Dogenburg Fund","Stamford, CT","great grandchild of #Immigrants; husband to an #Immigrant; #Masters in #GlobalAffairs running a small fund via #robinhoodapp #stonks",102,-73.5387341,41.0534302
"2020-08-10 16:56:36","ChallengerNWI","Feeling that #MondayMotivation? We're asking those in #nwi to help us get ready for our next adventure! Check out our website at https://t.co/7Sp7fdiTYB to see how you can be a part of our #space journey 🚀#MondayMood #community #donate #stem #kidfriendly #calltoaction #wishlist https://t.co/QlC5sdKxhp",0,"Challenger Ctr. NWI","Hammond, IN","As the living tribute to the Challenger Crew, Challenger Center uses space-themed missions to excite students about science, technology, engineering, and math.",872,-87.5000412,41.5833688
"2020-08-10 16:53:26","AstroAllie5","Must.Stop.Crying. This one was not on my space radar and just hit me like a ton of bricks. Also, I’m a mom. #Away #space https://t.co/a0S55zcxp4",0,"Allison Rae Hannigan","Sammamish, Washington, USA","Passionate about space, especially promise that #NewSpace offers. Now I’m doing something for the solar system. Tweets are my own and retweets not endorsements",1506,-122.0355736,47.6162683
"2020-08-10 16:53:25","thebitchycorner","I need more SPACE! on @Bonfire https://t.co/mU5rh3wlHi 

#thebitchycorner #space #nerd #nasa #ineedmorespace #astronaut #spacestation #iss #stars #galaxylovers #spacelovers #ineedspace #spacenerds #girlswholovespace",1,"The Bitchy Corner","New York","$Thetinycraftista

Find the perfect gift for that little sassy sarcastic bitchy thang in your life!
https://t.co/D27T9pY8HG",288,-74.0059728,40.7127753
"2020-08-10 16:29:25","NAPSnews","In many #rural places where #cable and #fiber don’t go, #satellite #Internet does. #fiber #telemedicine #workfromhome #research #modem #email #dishantenna #speed #data #country #space #radiowaves https://t.co/jPZ2Fgfx8N https://t.co/oHsxU7AI0F",0,"N.A.P.S.","New York","View features/graphics from more than 750 companies, associations, PR firms and government information offices. RETWEET your stories!",2019,-74.0059728,40.7127753
"2020-08-10 16:24:36","carameldevil98","MFC’s TFTD ... #Love is #not all you need — Expect and demand #respect #support #trust #boundaries #space #growth #understanding #inspiration #thoughtfortheday https://t.co/9bQ4L3ViHu",0,"M. FitzhughCraig","Oakland, CA","Hmmm ... Mother, daughter, partner, friend. Writer, editor, columnist, creator. Honest, loyal, funny. Living in the moment.",376,-122.2711137,37.8043637
"2020-08-10 16:24:25","shadesmagazine1","MFC’s TFTD ... #Love is #not all you need — Expect and demand #respect #support #trust #boundaries #space #growth #understanding #inspiration #thoughtfortheday https://t.co/WYbnZ8V31k",0,"shades Magazine -","Oakland, CA","A uniquely diverse online publication that promotes intellectual enhancement, spiritual enlightenment & cultural enrichment. Visit http://t.co/BL6ucb1fTo!",686,-122.2711137,37.8043637
"2020-08-10 16:24:09","talk2mfc","MFC’s TFTD ... #Love is #not all you need — Expect and demand #respect #support #trust #boundaries #space #growth #understanding #inspiration #thoughtfortheday https://t.co/KVCyXqayWN",0,"Michelle Fitzhugh-Cr","California, USA","",51,-119.4179324,36.778261
"2020-08-10 16:18:13","astronomywriter","MPS: Evidence of Active Cryovolcanism on the Dwarf Planet Ceres
https://t.co/kkz2d0sLVL
#astronomy #space #science #news #ceres",0,"Richard J. Bartlett","Los Angeles, CA","Writer, former monthly columnist for #Astronomy magazine and author of numerous books for astronomers of all levels. Pro human decency, vehemently anti-Trump.",975,-118.2436849,34.0522342
"2020-08-10 16:09:01","meonlylouder","If you're a fan of #space #science and/or #photography, check out the latest #podcast episode of @thephotountaken with my friend @allenclarkphoto who got to interview @nasa award-winning photographer @ChrisGunnPhoto: https://t.co/XSKpH6zPAl",1,"Marcus dePaula","Franklin, TN","Audio Engineer / Podcast Producer",299,-86.8688899,35.9250637
"2020-08-10 16:00:09","RAmbroseLMSpace","Thanks for having me! It was a great discussion about the future of #space with @Polioptics on @ICEHousePodcast. https://t.co/6EzPRhJNbI",7,"Rick Ambrose","Denver, Colorado","Leader of Lockheed Martin Space. Technology enthusiast, STEM advocate.",2618,-104.990251,39.7392358
"2020-08-10 15:55:16","ScruffyMinds","#apod
#astronomypictureoftheday
#astronomy
#Space 
 The Pipe Nebula https://t.co/gXmPvV7sp0",0,"EH Mantel (eMan the Elder Millennial)","Chattanooga, TN","Daily writing prompts & excerpts from my book
Chronicles of Centauri Book 1 Interview with the Being
A Tale from Orion's Spur
video games & tech
Soli Deo Gloria",344,-85.3096801,35.0456297
"2020-08-10 15:51:43","desota","How can #multifamily investors plan for an uncertain future?https://t.co/76geoTwulj #commercial #RealEstate #CRE #apartment #housing #retail #office #properties #rentals #JohnLoper @USCPrice #tenants #refinance #vacancy #rates #outdoor #space #balcony #microunits",0,"DeSota Wilson","Atlanta, GA","Biz Consultant, real estate, FinTech, startups, economy, military brat, @UNC, @KAPsi1911 ΘΟ, post are mine & not the view of my employer, RT not endorsement",8563,-84.3879824,33.7489954
"2020-08-10 15:51:27","InSpaceXItrust","The observable universe! In relation our lives are nothing in the scale of time. #Space 

Cr:@NASA https://t.co/hpTavzSqkx",0,"Michael Hodges","Florida, USA","Just a huge fan of Space and SpaceX. Proud Navy OEF/OIF Veteran and Pew professional! Model 3 owner|Cybertruck reservation holder. $TSLA",1550,-81.5157535,27.6648274
"2020-08-10 15:47:46","ChadWleczyk","We pray today in agreement  for #OpenDoors and #Space to lift up the name of Jesus together in every city in the 🌎!!!! #Love #Unity #Hope #Peace #Joy #Healing #Transformation #Healing #Revival #Restoration #Signs #Wonders #Miracles #Breakthrough #Streets #Rooftops #Airwaves https://t.co/nE0CDHRDhE",1,"Chad Wleczyk","Milwaukee,WI","Passionate connector of people, places, and spaces. Dedicated to making a transformative difference in the lives of others and cities. | | |",747,-87.9064736,43.0389025
"2020-08-10 15:43:05","pcnerd37","My new shot of Jupiter and one of its moons, Io that I took this weekend.  #astrophotography  #space  @SamASchreier  @WXAlexOBrien https://t.co/FVt5eO5yvY",6,"Jeremy  🔭","Colorado","I'm an software developer, astronomy geek, gamer and metalhead among other things.  I mainly tweet & retweet things related to those subjects.",4204,-105.7820674,39.5500507
"2020-08-10 15:00:19","TonyjShamro","It’s not the matter of a dream or inspiration, but the matter of ideal and knowledge and like mind. I want to meet @elonmusk to talk about space and exploration. I love space and would love to see what he does. #SpaceX #space #nasa #USA #spaceprogam",1,"Tony Shamro","Clearwater, Florida","Smile there people who love you.",808,-82.8001026,27.9658533
"2020-08-10 15:29:05","OldMapGallery","Riding on that Apollo II momentum, and here a chart for the growth in the U.S. air/space race, and looking decades into the future. Presumed much long lunar visits and hyper-sonic travel. #Space #NASA #dataviz #charts https://t.co/4H7pok4rvm",0,"The Old Map Gallery","Denver Colorado","Following the historical journey of discovery and understanding, through maps, charts and every significant data visualization we can find.",617,-104.990251,39.7392358
"2020-08-10 15:04:00","AIAspeaks","#ICYMI: Last week, LT GEN James Dickinson was confirmed as Commander of @US_SpaceCom. We look forward to working with LT GEN Dickinson on advancing our nation's national security #space interests. https://t.co/errJkWa2Kc",1,"Aerospace Industries","Arlington, VA","Founded in 1919, the Aerospace Industries Association is the voice of the American aerospace & defense industry on critical national security & economic issues.",47197,-73.94416,40.678177
"2020-08-10 14:32:56","HapNStance1","Last look at this #exomoon in a globular cluster.  From my #travels in #SpaceEngine. #universe #simulation #space #stars #exoplanets #planets #moons #gasgiants #mountains #rivers #extrasolar @SpaceEngineSim https://t.co/68m74FlgXt",1,"Hap N Stance","Denver, CO, USA","Astronomy geek.  Space art enthusiast.  Also make Space Engine videos...on You Tube at Hap N Stance.  Michael Holzinger, Associate Member of IAAA.",954,-104.990251,39.7392358
"2020-08-10 14:21:10","TryingBiology","#histSTM twitter, especially #space folks: Do you know anything about the Robbins Company of Attleboro Massachusetts? They created mission medallions for Gemini and Apollo missions. Do they still exist or have archives deposited?",2,"Adam Shapiro","Lancaster, PA","@AAAS_STPF alum @ECAatState. #twitterstorian: science & religion #histsci, #STS, #USIH. Historian of #scicomm & #Pseudoscience. #SciPol. He/him",3140,-76.3055144,40.0378755
"2020-08-10 14:08:48","a_leinfelder","From Sunday's paper: Could America's new path to the International Space Station affect the country's relationship with Russia? #NASA #SpaceX #space  https://t.co/3jxzbiUqYG",0,"Andrea Leinfelder","Houston, TX","Space reporter @HoustonChron. Foodie, adventure seeker and dog mom. @UFlorida alumna. Send tips and favorite sci-fi references to andrea.leinfelder@chron.com.",3174,-95.3698028,29.7604267
